"No.","Time","Source","Destination","Protocol","Length","Info"
"14684","217.819906","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14686","217.821744","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14687","217.821759","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14688","217.821777","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14689","217.821791","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14691","217.821813","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14692","217.821827","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14693","217.821840","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14694","217.821856","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14696","217.821958","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14697","217.822036","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14699","217.822141","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14700","217.822194","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14701","217.822245","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14703","217.822431","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14704","217.822448","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14705","217.822464","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14706","217.822537","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14707","217.822553","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14708","217.822571","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14709","217.822587","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14710","217.822604","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14711","217.822620","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14712","217.822636","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14713","217.822654","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14714","217.822670","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14715","217.822686","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14716","217.822704","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14717","217.822720","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14718","217.822738","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14719","217.822754","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14720","217.822770","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14721","217.822789","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14722","217.822816","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14723","217.822832","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14724","217.822848","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14725","217.822864","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14726","217.822879","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14727","217.822896","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14728","217.822911","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"14729","217.822928","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14730","217.822943","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14731","217.822958","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14732","217.822975","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14733","217.822991","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"14734","217.823006","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
